Reference_SiO2,,Sample_A,,Sample_B,,Sample_C,,Sample_D,,Sample_E,,Sample_F,,Sample_G,,Sample_G_flipped,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1054.007202,-0.001454991754,1054.007202,-0.001893514767,1054.007202,0.02683593705,1054.007202,0.001791842282,1054.007202,-0.002633867087,1054.007202,0.02009054087,1054.007202,0.01189575717,1054.007202,-0.00283862534,1054.007202,0.001536510186,
1053.005127,0.0004537591303,1053.005127,-0.000887653965,1053.005127,0.0297621619,1053.005127,0.002904388588,1053.005127,0.003978278954,1053.005127,0.02244425565,1053.005127,0.009319686331,1053.005127,0.003305866849,1053.005127,0.005136312917,
1052.002563,0.0006392064388,1052.002563,0.001321182353,1052.002563,0.02900343202,1052.002563,0.00907614734,1052.002563,0.003032907611,1052.002563,0.01905178279,1052.002563,0.005981181283,1052.002563,0.001910204533,1052.002563,0.001796001219,
1050.999268,0.003860944882,1050.999268,0.001959399553,1050.999268,0.03367620334,1050.999268,0.0112316506,1050.999268,0.002979055746,1050.999268,0.02399084158,1050.999268,0.0148325935,1050.999268,0.003419815563,1050.999268,0.002191356383,
1049.995239,0.00105989899,1049.995239,-0.001871297485,1049.995239,0.03072082438,1049.995239,0.0004142176476,1049.995239,-0.00629426213,1049.995239,0.02423561178,1049.995239,0.008012981154,1049.995239,-0.000283928006,1049.995239,0.000109848057,
1048.990601,0.003216173965,1048.990601,0.005273616873,1048.990601,0.0356795229,1048.990601,0.008026692085,1048.990601,0.002027584706,1048.990601,0.02559125051,1048.990601,0.01873290911,1048.990601,0.005404516589,1048.990601,0.00599034084,
1047.985107,0.002813423751,1047.985107,0.001289895852,1047.985107,0.02916676551,1047.985107,0.004278915469,1047.985107,0.001704202732,1047.985107,0.0247990936,1047.985107,0.009494486265,1047.985107,0.001475778641,1047.985107,0.0002963400912,
1047.009521,-0.003955377731,1047.009521,-0.0002057964593,1047.009521,0.02589212172,1047.009521,0.001736168866,1047.009521,-0.003984516487,1047.009521,0.02121838182,1047.009521,0.009967603721,1047.009521,-0.001276320079,1047.009521,0.004802808631,
1046.002808,-0.002343387343,1046.002808,0.003927574493,1046.002808,0.02770873904,1046.002808,0.006741900463,1046.002808,0.003741579829,1046.002808,0.02448344976,1046.002808,0.01672394574,1046.002808,0.004849505145,1046.002808,0.005163921975,
1044.995361,-0.0001467486436,1044.995361,-0.0006257306086,1044.995361,0.03247462958,1044.995361,0.007195577491,1044.995361,0.0003403267183,1044.995361,0.02292501368,1044.995361,0.01133914292,1044.995361,0.00459100958,1044.995361,0.003005876672,
1043.987305,-0.003027657978,1043.987305,-0.0001836997399,1043.987305,0.03145550936,1043.987305,0.002168305917,1043.987305,0.0006471652305,1043.987305,0.02363133989,1043.987305,0.01238630805,1043.987305,-0.00193454395,1043.987305,0.004896023776,
1043.009033,-0.004892330617,1043.009033,-0.005458299071,1043.009033,0.02650197037,1043.009033,0.004642915912,1043.009033,-0.004587119445,1043.009033,0.01742865704,1043.009033,0.008160139434,1043.009033,-0.007762020454,1043.009033,0.0005102791474,
1041.999634,-0.003427564166,1041.999634,0.001164616668,1041.999634,0.02792712487,1041.999634,0.003408753313,1041.999634,-0.001664019772,1041.999634,0.02307141759,1041.999634,0.01027201861,1041.999634,-0.00245310599,1041.999634,-0.001343730604,
1040.989502,-0.0007294231909,1040.989502,0.004673398566,1040.989502,0.02957075462,1040.989502,0.005823503714,1040.989502,0.0008066565497,1040.989502,0.0251604151,1040.989502,0.009096342139,1040.989502,0.005976955872,1040.989502,0.004649980459,
1040.009277,0.001755739562,1040.009277,-0.0004489929124,1040.009277,0.03107206523,1040.009277,0.003518240526,1040.009277,-0.001302026096,1040.009277,0.02806655318,1040.009277,0.009619625285,1040.009277,0.00252835406,1040.009277,0.003842454171,
1038.997803,0.001929418999,1038.997803,0.007254534867,1038.997803,0.03269082308,1038.997803,0.005594817456,1038.997803,0.002703540958,1038.997803,0.03038694151,1038.997803,0.01538372971,1038.997803,0.001821033424,1038.997803,0.007512198295,
1037.985474,-0.001183342421,1037.985474,0.004589727614,1037.985474,0.03269160166,1037.985474,0.004374135751,1037.985474,0.003860239638,1037.985474,0.02666772343,1037.985474,0.01336667128,1037.985474,0.004278862849,1037.985474,0.002935556928,
1037.00354,0.001095165382,1037.00354,0.002742015058,1037.00354,0.02994045243,1037.00354,0.004155280069,1037.00354,-0.001194649492,1037.00354,0.02382074669,1037.00354,0.0114093218,1037.00354,2.508422767E-005,1037.00354,0.001497597317,
1035.989868,0.001809309935,1035.989868,0.00144827296,1035.989868,0.0293562226,1035.989868,0.007906572893,1035.989868,0.002617670456,1035.989868,0.02763027698,1035.989868,0.01387099363,1035.989868,0.003372046398,1035.989868,0.004397016019,
1035.00647,0.002282138914,1035.00647,0.003139875364,1035.00647,0.03289661929,1035.00647,0.008201579563,1035.00647,0.001018771436,1035.00647,0.02758059651,1035.00647,0.01768593304,1035.00647,0.005136574619,1035.00647,0.005268061999,
1033.991455,0.002015725709,1033.991455,-0.001467684866,1033.991455,0.02771185711,1033.991455,0.003201726824,1033.991455,0.003729804419,1033.991455,0.02907973528,1033.991455,0.0112965256,1033.991455,-0.0002700619807,1033.991455,0.001271618414,
1033.006836,0.001471181167,1033.006836,0.001674941508,1033.006836,0.03141053766,1033.006836,0.004691087175,1033.006836,0.001200618455,1033.006836,0.02827426046,1033.006836,0.009335264564,1033.006836,0.003279888071,1033.006836,0.003504774999,
1031.990723,-0.002542157657,1031.990723,0.0006109760143,1031.990723,0.03042878024,1031.990723,0.003466311609,1031.990723,0.0002957443066,1031.990723,0.0256522093,1031.990723,0.01204524934,1031.990723,0.001678319764,1031.990723,0.002848780714,
1031.004639,-0.002774172928,1031.004639,0.003422476817,1031.004639,0.02957923524,1031.004639,0.006034829188,1031.004639,-0.000908991613,1031.004639,0.02644312009,1031.004639,0.01143204421,1031.004639,0.0005126115866,1031.004639,0.003686021315,
1029.987183,-0.001081720693,1029.987183,-0.0005491082557,1029.987183,0.02964247391,1029.987183,0.002554443898,1029.987183,-0.003592876252,1029.987183,0.02449462377,1029.987183,0.01349578798,1029.987183,0.0002821710368,1029.987183,0.001970476937,
1028.999878,-0.001158610452,1028.999878,-1.67737835E-005,1028.999878,0.03103152663,1028.999878,0.003299684962,1028.999878,-1.48065219E-005,1028.999878,0.02495827526,1028.999878,0.01266449131,1028.999878,0.003585861996,1028.999878,0.004583815113,
1028.011841,0.0002167455241,1028.011841,-0.001898772432,1028.011841,0.03074785881,1028.011841,0.004113518633,1028.011841,0.0005897201481,1028.011841,0.02489491925,1028.011841,0.01479190867,1028.011841,0.001036182046,1028.011841,0.001373115228,
1026.99231,0.0001791160612,1026.99231,0.002616316313,1026.99231,0.02661446668,1026.99231,0.005304615013,1026.99231,-0.001035239315,1026.99231,0.02854940481,1026.99231,0.01444229204,1026.99231,0.00202415185,1026.99231,0.003036869923,
1026.003052,-0.001741219079,1026.003052,0.001790126786,1026.003052,0.02923030593,1026.003052,0.001746252994,1026.003052,-0.0003349387844,1026.003052,0.02752391621,1026.003052,0.01419792324,1026.003052,-0.0008045150898,1026.003052,0.0006835389067,
1025.013184,0.002524110023,1025.013184,0.002995033516,1025.013184,0.03060620464,1025.013184,0.005865115207,1025.013184,0.001966316253,1025.013184,0.02792604826,1025.013184,0.01505679078,1025.013184,0.002957892371,1025.013184,0.002898733597,
1023.991699,-0.001225987682,1023.991699,0.002291585086,1023.991699,0.03056090511,1023.991699,0.003410918871,1023.991699,-0.002051888965,1023.991699,0.02243744023,1023.991699,0.0138866026,1023.991699,0.00137981493,1023.991699,6.18977574E-005,
